Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-01-05 03:21:45,2024-01-05 23:03:12,UTC-05:00,13,83,35,35.07,94.09,10.6,1986,147,83,2024-01-05 03:21:45,2024-01-05 08:00:03,44,17.9,259,278,57,84,118,19,591,86,95,42
2024-01-04 00:16:41,2024-01-05 03:21:45,UTC-05:00,17,70,38,34.69,94.17,14.6,3132,153,87,2024-01-04 00:16:41,2024-01-04 06:43:37,67,17.6,345,386,201,59,85,41,517,35,89,50
2024-01-02 23:55:47,2024-01-04 00:16:41,UTC-05:00,52,61,76,34.80,93.43,9.3,2256,143,74,2024-01-02 23:55:47,2024-01-03 07:42:00,88,17.1,427,466,280,78,69,39,482,0,91,40
2024-01-01 20:24:44,2024-01-02 23:55:47,UTC-05:00,98,57,131,34.20,94.75,9.9,2574,150,69,2024-01-01 20:24:44,2024-01-02 10:08:34,100,16.4,768,823,647,54,67,55,398,127,93,16
2024-01-01 04:00:00,2024-01-01 20:24:44,UTC-05:00,1,89,16,35.00,93.22,7.2,1486,149,81,2024-01-01 04:00:00,2024-01-01 08:00:00,30,19.6,154,240,60,43,51,86,517,0,69,42
2023-12-31 00:59:09,2024-01-01 04:00:00,UTC-05:00,38,68,51,35.00,96.59,16.4,3597,157,88,2023-12-31 00:59:09,2023-12-31 09:48:21,100,16.8,507,529,340,87,80,22,501,9,96,59
2023-12-29 23:14:38,2023-12-31 00:59:09,UTC-05:00,45,66,60,34.42,97.26,12.1,2630,166,79,2023-12-29 23:14:38,2023-12-30 07:38:50,97,16.6,462,504,215,99,148,42,477,0,91,82
2023-12-28 22:52:28,2023-12-29 23:14:38,UTC-05:00,28,69,48,35.30,94.83,7.6,2138,132,78,2023-12-28 22:52:28,2023-12-29 08:26:22,100,17.0,539,573,263,103,173,34,505,18,94,77
2023-12-27 21:41:13,2023-12-28 22:52:28,UTC-05:00,57,62,90,34.50,95.04,11.2,2519,157,75,2023-12-27 21:41:13,2023-12-28 08:29:09,95,17.3,565,647,368,86,111,82,594,117,88,61
2023-12-27 00:15:12,2023-12-27 21:41:13,UTC-05:00,24,64,59,34.71,95.41,7.1,1880,135,73,2023-12-27 00:15:12,2023-12-27 07:08:34,61,16.8,368,413,200,67,101,45,603,89,89,77
2023-12-25 22:53:21,2023-12-27 00:15:12,UTC-05:00,30,64,55,34.70,94.81,15.7,3367,155,85,2023-12-25 22:53:21,2023-12-26 06:57:23,70,17.1,425,482,189,91,145,57,605,100,88,81
2023-12-24 23:46:11,2023-12-25 22:53:21,UTC-05:00,38,61,67,34.10,94.08,14.4,2811,155,81,2023-12-24 23:46:11,2023-12-25 05:57:15,61,16.7,321,371,154,60,107,50,523,22,87,74
2023-12-23 22:24:52,2023-12-24 23:46:11,UTC-05:00,81,55,112,34.10,95.50,14.0,2914,153,78,2023-12-23 22:24:52,2023-12-24 06:53:53,93,16.0,478,509,264,77,137,31,512,34,93,75
2023-12-22 21:21:52,2023-12-23 22:24:52,UTC-05:00,83,55,115,33.11,95.66,8.0,2201,133,71,2023-12-22 21:21:52,2023-12-23 06:26:56,90,16.5,497,545,347,51,99,48,551,62,91,
2023-12-22 00:17:38,2023-12-22 21:21:52,UTC-05:00,95,53,134,34.30,96.15,11.4,2200,152,75,2023-12-22 00:17:38,2023-12-22 07:46:34,81,17.0,405,448,272,61,72,43,503,29,90,
2023-12-20 00:00:00,2023-12-22 00:17:38,UTC-05:00,,,,,,4.1,472,119,71,,,,,,,,,,,,,,
2023-12-17 23:58:37,2023-12-18 23:58:37,UTC-04:00,95,55,124,34.80,95.23,4.2,1225,129,83,2023-12-17 23:58:37,2023-12-18 07:54:00,90,16.6,442,475,321,51,70,33,489,0,93,57
2023-12-16 21:01:49,2023-12-17 23:58:37,UTC-04:00,73,63,76,34.70,96.74,11.6,2645,162,70,2023-12-16 21:01:49,2023-12-17 09:06:10,100,16.7,629,719,416,100,113,90,488,127,87,32
2023-12-15 22:41:32,2023-12-16 20:01:49,UTC-05:00,25,71,46,35.44,95.50,4.7,1761,127,75,2023-12-15 22:41:32,2023-12-16 04:13:40,54,17.2,303,332,120,91,92,29,562,74,91,73
2023-12-14 23:02:17,2023-12-15 22:41:32,UTC-05:00,69,64,79,34.50,93.38,11.2,2382,144,78,2023-12-14 23:02:17,2023-12-15 07:38:01,81,16.2,487,515,267,57,163,28,603,108,94,73
2023-12-13 23:38:19,2023-12-14 23:02:17,UTC-05:00,49,65,68,35.50,94.09,12.7,2504,156,80,2023-12-13 23:38:19,2023-12-14 06:18:42,63,17.1,376,400,204,80,92,24,594,108,94,79
2023-12-13 00:32:00,2023-12-13 23:38:19,UTC-05:00,24,65,50,33.90,95.29,10.8,2271,144,77,2023-12-13 00:32:00,2023-12-13 06:14:14,59,17.0,307,342,157,74,76,35,524,16,89,
2023-12-11 21:25:32,2023-12-13 00:32:00,UTC-05:00,96,55,129,34.47,96.27,15.1,3250,184,79,2023-12-11 21:25:32,2023-12-12 06:46:27,94,16.8,478,560,287,77,114,82,510,0,87,
2023-12-11 00:00:00,2023-12-11 21:25:32,UTC-05:00,,,,,,4.1,56,119,83,,,,,,,,,,,,,,
